zcta,pop_estimate,black,blackz,poverty,povertyz,boro,arrests,pop_estimate_2010,blackz_2010,povertyz_2010,weighted_median_non_home_dwell_time,weighted_median_non_home_dwell_timez,complaintsSD,complaintsSD_rate,complaintsSD_rate_2010,complaintsSD_ratez,complaintsSD_ratez_2010,summons,sqf,sqfrate,sqfratez
10069,5085,2.91,-0.7577741625642281,9.64,-0.6185495570820388,Manhattan,0,5199,NA,NA,30.04366965,0.043255914714781116,13,255.65388397246807,0.002500480861704174,-0.8514256829956932,-0.8721248808894541,0,45,865.5510675129832,-1.1280472017832712
10075,21556,3.14,-0.7485098132648613,4.23,-1.2770754169226597,Manhattan,2,26121,-0.840217217025144,-0.9232571867648821,175.136897,3.798118594730723,124,575.2458712191501,0.004747138317828567,0.06849715659751564,-0.2760464868895862,0,586,2243.4056889093067,-0.9014781843185462
10128,59256,3.68,-0.7267587323011304,6.37,-1.0165864446381996,Manhattan,8,60453,-0.696143429819285,-1.0481923723093192,133.6622636,2.724797972084839,286,482.65154583502095,0.004730948009197228,-0.1980290334719444,-0.2803420652569173,0,2203,3644.1533091823403,-0.6711447317807938
10280,9384,1.96,-0.7960399531485695,2.63,-1.4718335270418823,Manhattan,2,7853,-0.8424975696161116,-1.269042307122812,60.28041873,0.8257517124795164,49,522.1653878942882,0.006239653635553292,-0.0842912451639365,0.11994451351163286,0,89,1133.324844008659,-1.0840155307337076
10282,5593,1.09,-0.8310833613679137,2.72,-1.4608783833476757,Manhattan,1,4783,NA,NA,36.19583142,0.20246749924911475,49,876.0951188986232,0.0102446163495714,0.9344703513546216,1.182532731441143,0,17,355.42546518921176,-1.2119302578817224
10301,38733,24.96,0.1303949767881164,19.74,0.6108610130455525,Staten,73,39706,0.1344563963783402,0.23536194326230458,12.68747026,-0.40590457710624833,204,526.6826736891023,0.005137762554777615,-0.07128855879679688,-0.17240689235180623,0,4745,11950.334961970482,0.6946912473797551
10302,18204,20.62,-0.04441926651297997,14.96,0.029021159064375805,Staten,13,19088,-0.10030256189920826,0.7111687708955101,10.60398138,-0.4598231147432169,107,587.7829048560756,0.005605616093880972,0.10458411760900693,-0.04827698307005825,0,2017,10566.848281642917,0.4671961162027854
10303,25947,35.34,0.5484990886464991,22.88,0.9930738041545266,Staten,21,26337,0.5710232483059412,0.5106113630529567,9.122690832,-0.4981573822933388,102,393.10902994565845,0.003872878459961271,-0.4557708066337418,-0.508003259202827,0,2323,8820.290845578464,0.1799990519480584
10304,41064,27.46,0.23109442569427793,18.48,0.4574890013266651,Staten,35,42193,0.15654821210663614,0.20003590560389173,11.31881699,-0.4413239083821874,141,343.3664523670368,0.003341786552271704,-0.5989512837446747,-0.6489114383909564,0,4458,10565.7336525016,0.46701283095232127
10305,42298,6.55,-0.611155764956857,12.25,-0.3008503899500573,Staten,20,41749,-0.7116042168115333,-0.721023569014512,10.6764472,-0.4579477742599675,114,269.51628918624994,0.0027306043258521163,-0.8115237340209499,-0.8110690111764003,0,1892,4531.845074133512,-0.5251761746679287
10306,53142,3.34,-0.7404538573523683,9.07,-0.6879321338120118,Staten,41,55909,-0.7580438761598768,-1.1533235685370067,10.88499612,-0.4525507438749678,255,479.84644913627636,0.00456098302598866,-0.20610330511646746,-0.32543681432558347,0,2622,4689.763723193046,-0.4992086505175823
10307,15232,0.37,-0.8600848026528882,6.47,-1.0044140627557485,Staten,19,14096,-0.8755678162690045,-1.1951905169282118,13.40453186,-0.3873477644259594,50,328.2563025210084,0.003547105561861521,-0.6424447770352566,-0.5944366339830498,0,217,1539.4438138479002,-1.0172349179307285
10308,30186,1.12,-0.8298749679810398,4.68,-1.2222996984516286,Staten,5,27357,-0.8734577695120269,-1.0937202025215131,10.63061167,-0.4591339503769313,47,155.70131849201618,0.0017180246372043718,-1.1391320446399589,-1.0797245077945794,0,854,3121.6873195160288,-0.7570569928417394
10309,33531,0.87,-0.839944912871656,7.5,-0.8790385293664988,Staten,8,32519,-0.7859122202791287,-0.8626911199870608,14.60058187,-0.35639522702634463,130,387.7009334645552,0.003997662904763369,-0.4713376283008022,-0.4748957148145909,0,641,1971.1553245794767,-0.9462459679386446
10310,23262,20.82,-0.03636331060048708,17.88,0.3844547100319565,Staten,17,24962,0.15438894311682558,0.34906657165226834,12.75965947,-0.4040363950037511,137,588.9433410712751,0.005488342280266004,0.10792435084654792,-0.07939182271207423,0,2420,9694.735998718052,0.32378938809604013
