"GEO_ID","NAME","P001001"
"id","Geographic Area Name","Total"
"8710000US3611225","ZCTA5 11225, New York","56829"
"8710000US3611226","ZCTA5 11226, New York","101572"
"8710000US3611228","ZCTA5 11228, New York","41788"
"8710000US3611229","ZCTA5 11229, New York","80018"
"8710000US3611230","ZCTA5 11230, New York","86408"
"8710000US3611231","ZCTA5 11231, New York","33336"
"8710000US3611232","ZCTA5 11232, New York","28265"
"8710000US3611233","ZCTA5 11233, New York","67053"
"8710000US3611234","ZCTA5 11234, New York","87757"
"8710000US3611235","ZCTA5 11235, New York","79132"
"8710000US3611236","ZCTA5 11236, New York","93877"
"8710000US3611237","ZCTA5 11237, New York","49896"
"8710000US3611238","ZCTA5 11238, New York","49262"
"8710000US3611239","ZCTA5 11239, New York","13393"
"8710000US3611351","ZCTA5 11351, New York","0"
"8710000US3611354","ZCTA5 11354, New York","54878"
"8710000US3611355","ZCTA5 11355, New York","85871"
"8710000US3611356","ZCTA5 11356, New York","23438"
"8710000US3611357","ZCTA5 11357, New York","39150"
"8710000US3611358","ZCTA5 11358, New York","37546"
"8710000US3611359","ZCTA5 11359, New York","0"
"8710000US3611360","ZCTA5 11360, New York","18884"
"8710000US3611361","ZCTA5 11361, New York","28606"
"8710000US3611362","ZCTA5 11362, New York","17823"
"8710000US3611363","ZCTA5 11363, New York","6988"
"8710000US3611364","ZCTA5 11364, New York","34555"
"8710000US3611365","ZCTA5 11365, New York","42252"
"8710000US3611366","ZCTA5 11366, New York","13532"
"8710000US3611367","ZCTA5 11367, New York","41047"
"8710000US3611368","ZCTA5 11368, New York","109931"
"8710000US3611369","ZCTA5 11369, New York","38615"
"8710000US3611370","ZCTA5 11370, New York","39688"
"8710000US3611371","ZCTA5 11371, New York","0"
"8710000US3611372","ZCTA5 11372, New York","66636"
"8710000US3611373","ZCTA5 11373, New York","100820"
"8710000US3611374","ZCTA5 11374, New York","43600"
"8710000US3611375","ZCTA5 11375, New York","68733"
"8710000US3611377","ZCTA5 11377, New York","89830"
"8710000US3611378","ZCTA5 11378, New York","34981"
"8710000US3611379","ZCTA5 11379, New York","34821"
"8710000US3611385","ZCTA5 11385, New York","98592"
"8710000US3611411","ZCTA5 11411, New York","18556"
"8710000US3611412","ZCTA5 11412, New York","34882"
"8710000US3611413","ZCTA5 11413, New York","38912"
"8710000US3611414","ZCTA5 11414, New York","26148"
"8710000US3611415","ZCTA5 11415, New York","19341"
"8710000US3611416","ZCTA5 11416, New York","24861"
"8710000US3611417","ZCTA5 11417, New York","28967"
"8710000US3611418","ZCTA5 11418, New York","36256"
"8710000US3611419","ZCTA5 11419, New York","47211"
"8710000US3611420","ZCTA5 11420, New York","44354"
"8710000US3611421","ZCTA5 11421, New York","39127"
"8710000US3611422","ZCTA5 11422, New York","30425"
"8710000US3611423","ZCTA5 11423, New York","29987"
"8710000US3611424","ZCTA5 11424, New York","0"
"8710000US3611425","ZCTA5 11425, New York","0"
"8710000US3611426","ZCTA5 11426, New York","17590"
"8710000US3611427","ZCTA5 11427, New York","23593"
"8710000US3611428","ZCTA5 11428, New York","19168"
"8710000US3611429","ZCTA5 11429, New York","25105"
"8710000US3611430","ZCTA5 11430, New York","184"
"8710000US3611432","ZCTA5 11432, New York","60809"
"8710000US3611433","ZCTA5 11433, New York","32687"
"8710000US3611434","ZCTA5 11434, New York","59129"
"8710000US3611435","ZCTA5 11435, New York","53687"
"8710000US3611436","ZCTA5 11436, New York","17949"
"8710000US3611451","ZCTA5 11451, New York","0"
"8710000US3611501","ZCTA5 11501, New York","19148"
"8710000US3611507","ZCTA5 11507, New York","7406"
"8710000US3611509","ZCTA5 11509, New York","2653"
"8710000US3611510","ZCTA5 11510, New York","33048"
"8710000US3611514","ZCTA5 11514, New York","4673"
"8710000US3611516","ZCTA5 11516, New York","7556"
"8710000US3611518","ZCTA5 11518, New York","10549"
"8710000US3611520","ZCTA5 11520, New York","43341"
"8710000US3611530","ZCTA5 11530, New York","27273"
"8710000US3611542","ZCTA5 11542, New York","27633"
"8710000US3611545","ZCTA5 11545, New York","12065"
"8710000US3611547","ZCTA5 11547, New York","793"
"8710000US3611548","ZCTA5 11548, New York","2780"
"8710000US3611549","ZCTA5 11549, New York","2922"
"8710000US3611550","ZCTA5 11550, New York","56435"
