"","ZCTA","PCSA","numHC","ptsUninsured","ptsMedicaid","poverty","lowInc","nonWhite","hispanic","black","asian","aIaN","popUninsured","popMedicaid","unemployed","limEnglish","lessHS","delayedCare","noUsualCare","pcp1_fte","pcp2_fte","r_pcp1_fte","r_pcp2_fte"
"72","11362","36059302800",3,0.17741935483871,0.487903225806452,0.08168554,0.17700411,0.47806895,0.08811533,0.0234676202715539,0.421411409733475,0.00100575515449517,0.0797129665683929,0.10096234076876,0.412195116281509,0.145131215453148,0.101949460804462,0.144631534814835,0.145232394337654,628.8,437.8,164.1,114.3
"73","11367","36059302800",16,0.165605095541401,0.587579617834395,0.15887093,0.34636172,0.438483,0.16434996,0.0927805300370353,0.23397142994565,0.00538694627483046,0.115763606138724,0.260606644662346,0.450573772192001,0.156050741672516,0.135258704423904,0.14555649459362,0.143100097775459,628.8,437.8,164.1,114.3
"74","11364","36059302800",7,0.15843621399177,0.574074074074074,0.08602644,0.23132509,0.57526789,0.08268867,0.021689301472695,0.498710675605982,0,0.0830028082568542,0.111316985611303,0.426704913377762,0.163089483976364,0.102485552430153,0.148234412074089,0.148239061236382,628.8,437.8,164.1,114.3
"75","11366","36059302800",4,0.168253968253968,0.561904761904762,0.13352819,0.25382663,0.49733759,0.07766621,0.058344743648258,0.378974593032101,0,0.100838397046381,0.228213214368126,0.466477632522583,0.158236652612686,0.11081501096487,0.142605662345886,0.140762999653816,628.8,437.8,164.1,114.3
"76","10005","36061001501",7,0.236180904522613,0.376884422110553,0.10284204,0.12954395,0.25059445,0.0675033,0.0371202113606341,0.162879788639366,0,0.0547426841574168,0.0438950554994955,0.16288423538208,0.0360975600779057,0.0223379246890545,0.105884715914726,0.131872266530991,93.5,46.9,249.8,125.3
"77","10006","36061001501",5,0.256756756756757,0.351351351351351,0.08305085,0.11423729,0.28474576,0.0840678,0.031864406779661,0.178983050847458,0,0.0528109028960818,0.034412265758092,0.130869895219803,0.0130486357957125,0.00428449036553502,0.10969652980566,0.133698299527168,93.5,46.9,249.8,125.3
"78","10280","36061001501",6,0.120879120879121,0.428571428571429,0.05500737,0.0768969,0.28070772,0.11942838,0.009300215492798,0.19689236701826,0,0.0380713428602596,0.0258536053234428,0.21306312084198,0.0636574104428291,0.0194217935204506,0.11043581366539,0.134777992963791,93.5,46.9,249.8,125.3
"79","10038","36061001501",17,0.124778761061947,0.572566371681416,0.19920724,0.33946539,0.50573892,0.16278516,0.0601990760584845,0.330856789065105,0.0171453064723532,0.0638092332723205,0.162649989831198,0.3892802298069,0.156504482030869,0.182641565799713,0.133058771491051,0.163827791810036,93.5,46.9,249.8,125.3
"80","10007","36061002100",4,0.175925925925926,0.472222222222222,0.02979962,0.05857167,0.3283936,0.08269117,0.0699466508595139,0.167753408417309,0,0.0399234345091605,0.0501777413180202,0.330491930246353,0.0215419493615627,0.0633281394839287,0.109577767550945,0.130882799625397,30,19,255.8,162
"81","10004","36061002100",4,0.25,0.308823529411765,0.08564815,0.12400794,0.22585979,0.09126984,0.023478835978836,0.182539682539683,0,0.0451767207015679,0.0374701036407122,0.200386852025986,0.0075949365273118,0.0127248791977763,0.117032244801521,0.136578008532524,30,19,255.8,162
"82","10002","36061002900",24,0.133447083651385,0.573571011629473,0.27509936,0.54198473,0.68836208,0.26011966,0.0761508999424237,0.436365684532005,0.00269106566200215,0.0921136256873636,0.31386609190638,0.499573409557343,0.296190470457077,0.347436487674713,0.154516115784645,0.199082747101784,268.6,212.8,167,132.3
"83","10013","36061002900",11,0.202473660100779,0.537792029317453,0.13514822,0.26134301,0.43672272,0.06812191,0.0419497345658388,0.336340349704867,0.00122508074395812,0.0553852279514234,0.106191519012542,0.381832271814346,0.160507783293724,0.182878583669662,0.117222167551517,0.153427496552467,268.6,212.8,167,132.3
"84","10001","36061007800",15,0.372983437298344,0.471284147128415,0.19007465,0.29158603,0.39478192,0.16532701,0.114200377739711,0.180085211051083,0.00426055255413537,0.0632951945080091,0.12279176201373,0.350171327590942,0.0602560676634312,0.085068590939045,0.128775224089623,0.148085668683052,801.1,484.4,411.5,248.8
"85","10016","36061007800",19,0.250562303193882,0.524966261808367,0.10702875,0.18710576,0.27943407,0.09329103,0.038154533844189,0.163513729246488,0.00219508301404853,0.0504772722743668,0.0500388593292282,0.293398648500443,0.0619921982288361,0.0394663289189339,0.109961412847042,0.128425270318985,801.1,484.4,411.5,248.8
"86","10003","36061007800",14,0.277818448023426,0.47510980966325,0.10202609,0.1877074,0.22807878,0.07024953,0.0457349127356837,0.131492254853859,0.00268101212588491,0.0622186655996799,0.0958287486245874,0.348433434963226,0.0290596429258585,0.0363993979990482,0.107303865253925,0.125792756676674,801.1,484.4,411.5,248.8
"87","10009","36061007800",23,0.0959010054137664,0.586716937354988,0.20812422,0.36901688,0.40217778,0.25635052,0.0676633336569265,0.150325211144549,0.000792803287706695,0.0781832336717961,0.184707889549618,0.379441499710083,0.103382453322411,0.149008721113205,0.139310821890831,0.157890155911446,801.1,484.4,411.5,248.8
"88","10010","36061007800",8,0.170876671619614,0.421991084695394,0.13526113,0.19176306,0.27624723,0.10873388,0.0645108766445226,0.153477921062915,0.00543832226129999,0.0526062550120289,0.0532477947072975,0.341883957386017,0.0473812334239483,0.036677997559309,0.11056887358427,0.128512069582939,801.1,484.4,411.5,248.8
"89","10018","36061007800",9,0.188133140376266,0.499276410998553,0.15323284,0.2783107,0.44430662,0.17811957,0.060654924336393,0.309228479285537,0.00682212850409328,0.0769467528470299,0.124653739612188,0.244758069515228,0.0869458094239235,0.0713359266519547,0.137324795126915,0.168272733688354,801.1,484.4,411.5,248.8
"90","10012","36061008100",10,0.175579322638146,0.490196078431373,0.10321772,0.19527789,0.23971665,0.05968768,0.0239877646301216,0.151130966755212,0.00124768574418417,0.0614675531264021,0.0730513521230167,0.295482337474823,0.0616746917366982,0.0613032653927803,0.103802144527435,0.126286119222641,151.5,72.3,188.3,89.9
"91","10011","36061008100",15,0.25847022587269,0.424281314168378,0.08844,0.17376934,0.20672069,0.098657,0.0378156816078276,0.10269923121966,0.004590015300051,0.0566547238744065,0.092306606187896,0.279185712337494,0.039804819971323,0.0444489978253841,0.110790431499481,0.126151919364929,151.5,72.3,188.3,89.9
"92","10014","36061008100",10,0.21357063403782,0.362625139043382,0.06657106,0.1195666,0.10689493,0.06521125,0.0161457515313334,0.0523009266530548,0.00530862258520496,0.0458108396620612,0.0500503248238631,0.256807893514633,0.0113372709602118,0.013119162991643,0.098611555993557,0.11208788305521,151.5,72.3,188.3,89.9
"93","10020","36061012800",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,1244.6,721.8,319.6,185.4
"94","10017","36061012800",6,0.180929095354523,0.572127139364303,0.07158672,0.11685117,0.27386657,0.06880452,0.0282589998771348,0.219928738174223,0,0.0422284580110875,0.0356580658408049,0.220371216535568,0.0837204679846764,0.0219385139644146,0.10885276645422,0.132582023739815,1244.6,721.8,319.6,185.4
"95","10022","36061012800",8,0.220973782771536,0.404494382022472,0.05138799,0.10817086,0.13949965,0.06724132,0.0164988720158928,0.0976127142328024,0.000168355836896865,0.0389484311898105,0.0315703634669152,0.334147483110428,0.0243277121335268,0.0176225323230028,0.1021658629179,0.118522763252258,1244.6,721.8,319.6,185.4
"96","10023","36061012800",15,0.153084982537835,0.477299185098952,0.08105792,0.14492632,0.16854284,0.09380863,0.0279121819558277,0.0957012606563313,0.00134952766531714,0.0357797980205205,0.058920760345905,0.339545667171478,0.04614382609725,0.0278258752077818,0.107158564031124,0.121805869042873,1244.6,721.8,319.6,185.4
"97","10028","36061012800",10,0.262921348314607,0.29438202247191,0.05427482,0.11190796,0.11596526,0.04656804,0.0117827979813295,0.0709350429942169,0.00168944529879356,0.0388780231837046,0.0469636979439966,0.282266855239868,0.0239455886185169,0.0206646788865328,0.097877062857151,0.112591326236725,1244.6,721.8,319.6,185.4
